model,q,log_loss,brier,auc,pr_auc,accuracy,balanced_accuracy,calibration_error,vocabulary_mae
resp12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,50,0.32458032673641346,0.08984624039592704,0.9482454573432354,0.9674403795204521,0.9074105747126436,0.9053367292778034,0.1463106146308013,97.9850217382528
sign12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,50,0.3263485930688895,0.09044497536561405,0.9487319117360928,0.9680346544406861,0.9069931034482759,0.9046009291608011,0.1481562626511123,96.49764140425391
resp12_g12_tau1p8_c8p0_observed_ba_opt_shrunk,50,0.30572661553592717,0.08417878982382869,0.9480843700007904,0.9672466020930781,0.9066767816091954,0.9043733060391161,0.12859899868906657,90.67427692126002
res12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,50,0.3157757198572008,0.08684784857522135,0.9493442676015925,0.9686621257031108,0.908456551724138,0.904229084597244,0.13827966224895055,88.84311799017212
sign12_g12_tau1p8_c8p0_observed_ba_opt_shrunk,50,0.30716986599175905,0.08462872451654029,0.9485340662939273,0.9678487658939049,0.9069227586206897,0.9039822989964217,0.13025778981472286,88.93319432165586
res12_g12_tau1p8_c8p0_observed_ba_opt_shrunk,50,0.2975955837627948,0.08158181644822642,0.9490865964296002,0.9685856256927333,0.9077747126436781,0.9032214467136834,0.12045299233462271,81.46136312287904
res16_g16_tau1p6_c12p0_observed_ba_opt_shrunk,50,0.3322708885546709,0.09231165141525957,0.9478413911055765,0.9674809821889818,0.9078114942528736,0.9031842381888866,0.14967776280128584,91.58700242378406
res16_g16_tau1p8_c8p0_observed_ba_opt_shrunk,50,0.31272080302033484,0.08616236923199252,0.9477153224758946,0.9674211254146097,0.9074754022988506,0.9022041195934825,0.13112214462507246,83.39032560367741
resp12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,100,0.2768460425535583,0.07563249528055213,0.9515504221545887,0.969206490851839,0.9110852380952381,0.9094196354503629,0.10761422437587864,80.44630892076795
sign12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,100,0.2774396096993611,0.07573448212724827,0.9522602487306449,0.9698781427173768,0.9111261904761905,0.9091219743133632,0.10922469064691173,79.31149591348453
resp12_g12_tau1p8_c8p0_observed_ba_opt_shrunk,100,0.2663085301330098,0.07330852089321485,0.9514097011637005,0.9689634571794272,0.9105480952380952,0.9090104195150424,0.09651561276876028,76.0967052574434
sign12_g12_tau1p8_c8p0_observed_ba_opt_shrunk,100,0.2664986367728485,0.07327444736417728,0.9520847455818123,0.9696147446253562,0.9106638095238095,0.9086582271593829,0.0977584774145011,74.79545155246586
res16_g16_tau1p6_c12p0_observed_ba_opt_shrunk,100,0.28061342733048766,0.07620475549600836,0.9531405906707289,0.9706352154180219,0.9112757142857143,0.9081482792787458,0.11023645477461554,76.92179123210832
res12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,100,0.2690862912040312,0.0733744907111164,0.9533524263703859,0.971220680260321,0.9104180952380952,0.9081016865532839,0.10091221112635025,74.91202683495723
res12_g12_tau1p8_c8p0_observed_ba_opt_shrunk,100,0.25912228056062947,0.0713178759576713,0.9531806304640574,0.9711221187798389,0.9100433333333333,0.9076983462861593,0.09009095460249987,70.73618943574499
res16_g16_tau1p8_c8p0_observed_ba_opt_shrunk,100,0.26869379009076155,0.0733466094969355,0.9531686297337838,0.9706380235706363,0.9106404761904762,0.9073056773836745,0.09801144189639815,72.08240494935418
resp12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,1000,0.2206188977053349,0.06391542883217431,0.9568726433125743,0.9726075594867711,0.9191733333333333,0.9167163469898516,0.058580767534681506,21.77238335372472
resp12_g12_tau1p8_c8p0_observed_ba_opt_shrunk,1000,0.21952143747558037,0.06386225801368738,0.9568437166537502,0.9725405218078571,0.9190560000000001,0.9166503133879407,0.056816774141204056,21.511758742791695
sign12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,1000,0.2196093010960941,0.06357776331491213,0.9574142630511961,0.972935311271299,0.9190373333333334,0.9164856715089326,0.05871016715840248,21.660785627371034
sign12_g12_tau1p8_c8p0_observed_ba_opt_shrunk,1000,0.21847896739590517,0.06352359476021018,0.957360271300481,0.9728348145228677,0.918884,0.9163062661279165,0.05682543393026266,21.389569843987868
res16_g16_tau1p6_c12p0_observed_ba_opt_shrunk,1000,0.21363951358412187,0.0616648060974084,0.9615097330421557,0.9763230713556165,0.9186053333333333,0.9149312563677796,0.05722689574811104,21.24909707273333
res16_g16_tau1p8_c8p0_observed_ba_opt_shrunk,1000,0.21210794013265946,0.06156506035152279,0.9615033873413621,0.9763069179507399,0.9184533333333333,0.9148863993700296,0.05510299631974815,20.938056095060286
res12_g12_tau1p6_c12p0_observed_ba_opt_shrunk,1000,0.21582914769249473,0.06296071268362248,0.9589913741726721,0.9754663299315423,0.9165253333333333,0.9145993361370294,0.05538512611972297,21.34371767064186
res12_g12_tau1p8_c8p0_observed_ba_opt_shrunk,1000,0.2148339321805288,0.0629459970105339,0.9589219184015636,0.9754077986630498,0.916544,0.9145492594194117,0.05370850047505656,21.107371817102305
